iter	Passed	Remaining
0	155	154963
1	156	78002
2	157	52339
3	158	39504
4	159	31806
5	161	26683
6	162	23021
7	163	20267
8	165	18272
9	167	16580
10	169	15194
11	170	14017
12	171	13018
13	172	12159
14	173	11415
15	175	10762
16	176	10186
17	177	9673
18	178	9214
19	181	8874
20	183	8533
21	184	8190
22	185	7876
23	186	7587
24	187	7322
25	188	7076
26	190	6848
27	191	6636
28	192	6439
29	193	6256
30	198	6191
31	199	6027
32	200	5873
33	201	5727
34	202	5589
35	203	5459
36	205	5336
37	206	5220
38	207	5109
39	208	5006
40	211	4953
41	212	4858
42	214	4767
43	215	4680
44	216	4596
45	217	4515
46	218	4438
47	220	4363
48	221	4292
49	222	4225
50	223	4160
51	226	4130
52	228	4078
53	230	4046
54	232	3989
55	233	3933
56	234	3879
57	235	3827
58	236	3777
59	238	3729
60	240	3707
61	242	3668
62	243	3624
63	244	3581
64	246	3539
65	247	3499
66	248	3459
67	249	3421
68	250	3384
69	251	3347
70	253	3313
71	256	3302
72	257	3269
73	258	3237
74	259	3205
75	261	3175
76	262	3144
77	263	3115
78	264	3086
79	265	3058
80	267	3030
81	268	3003
82	268	2970
83	273	2983
84	274	2958
85	276	2934
86	277	2911
87	278	2889
88	280	2866
89	281	2843
90	282	2821
91	283	2799
92	286	2793
93	288	2780
94	290	2763
95	291	2747
96	293	2730
97	294	2713
98	296	2697
99	297	2681
100	299	2666
101	301	2654
102	303	2639
103	304	2625
104	306	2611
105	308	2597
106	309	2584
107	311	2571
108	312	2557
109	317	2565
110	318	2553
111	320	2540
112	321	2527
113	323	2515
114	325	2503
115	326	2490
116	327	2475
117	331	2479
118	333	2467
119	334	2456
120	336	2444
121	337	2429
122	339	2417
123	340	2406
124	342	2395
125	343	2384
126	347	2388
127	349	2378
128	350	2367
129	352	2356
130	353	2345
131	355	2336
132	356	2326
133	358	2318
134	361	2318
135	364	2314
136	366	2307
137	367	2297
138	369	2287
139	370	2278
140	372	2269
141	373	2256
142	376	2255
143	378	2248
144	379	2239
145	381	2230
146	382	2221
147	384	2212
148	385	2204
149	387	2195
150	389	2187
151	392	2192
152	394	2183
153	395	2174
154	397	2166
155	398	2157
156	400	2149
157	401	2141
158	403	2132
159	404	2124
160	407	2122
161	409	2118
162	411	2111
163	412	2104
164	414	2096
165	415	2089
166	417	2081
167	418	2074
168	422	2075
169	423	2069
